id,evidence_length
0,294
1,261
2,284
3,243
4,277
5,238
6,277
7,276
8,258
9,237
10,242
11,230
12,218
13,248
14,258
15,263
16,241
17,270
18,256
19,263
20,267
21,268
22,265
23,273
24,270
25,294
26,267
27,282
28,251
29,248
30,264
32,263
33,268
34,246
35,259
36,243
37,257
38,266
39,279
40,250
41,261
42,234
43,218
44,224
45,233
46,243
47,258
48,249
49,232
50,246
51,250
52,268
53,228
54,254
55,228
56,256
57,248
58,247
59,234
60,424
61,266
62,223
63,227
64,251
65,241
66,225
67,252
68,230
69,241
70,265
71,234
72,225
73,267
74,237
75,240
76,246
77,292
78,223
79,225
80,241
81,232
82,250
83,217
84,224
85,235
86,225
87,268
88,248
89,243
90,248
91,229
92,243
93,238
94,244
95,234
96,241
97,227
98,247
99,248
100,231
101,245
102,270
103,240
104,229
105,264
106,294
107,219
108,228
109,242
110,227
111,259
112,240
113,247
114,258
115,237
116,233
117,244
118,235
119,242
120,249
121,239
122,254
123,220
124,217
125,245
126,269
127,225
128,228
129,266
130,236
131,231
132,253
133,224
134,251
135,241
136,249
137,233
138,222
139,242
140,261
141,232
142,234
143,250
144,234
145,246
146,248
147,255
148,239
149,234
150,269
151,265
152,249
153,230
154,253
155,236
156,230
157,231
158,244
159,237
160,241
161,290
162,230
163,266
164,265
165,243
166,243
167,239
168,233
169,253
170,242
171,227
172,243
173,242
174,238
175,226
176,230
177,259
178,231
179,241
180,231
181,228
182,238
183,228
184,234
185,260
186,242
187,232
188,230
189,237
190,237
191,245
192,268
193,247
194,246
195,236
196,1431
197,1447
198,1435
199,1429
200,1421
201,1510
202,1498
203,1510
204,1510
205,1492
206,1532
207,1540
208,1552
209,1536
210,1560
211,1649
212,1638
213,1637
214,1627
215,1644
216,1498
217,1476
218,1489
219,1482
220,1479
221,1576
222,1602
223,1605
224,1599
225,1594
226,1584
227,1604
228,1601
229,1648
230,1592
231,1700
232,1677
233,1681
234,1733
235,1707
236,1721
237,1682
238,1730
239,1688
240,1690
241,1792
242,1810
243,1775
244,1817
245,1801
246,1828
247,1829
248,1830
249,1846
250,1829
251,1848
252,1856
253,1930
254,1866
255,1863
256,1988
257,2033
258,1973
259,2022
260,1983
261,2114
262,2159
263,2105
264,2195
265,2141
266,1828
267,1814
268,1826
269,1820
270,1818
271,1907
272,1891
273,1874
274,1880
275,1907
276,2046
277,2029
278,2079
279,2019
280,2035
281,2097
282,2115
283,2127
284,2103
285,2091
286,2012
287,2001
288,1982
289,2065
290,2009
291,1864
292,1878
293,1855
294,1864
295,1857
296,1925
297,1943
298,1940
299,1961
300,1940
301,429
302,431
303,425
304,419
305,450
306,2004
307,1966
308,1981
309,1967
310,1966
311,2088
312,2089
313,2113
314,2137
315,2105
316,1934
317,1948
318,1997
319,1953
320,1967
321,2337
322,2353
323,2295
324,2342
325,2319
326,1882
327,1941
328,1930
329,1891
330,1869
331,2064
332,2054
333,2062
334,2091
335,2062
336,2177
337,2196
338,2186
339,2206
340,2215
341,1400
342,1401
343,1402
344,1405
345,1400
346,1577
347,1567
348,1572
349,1587
350,1547
351,1650
352,1619
353,1595
354,1587
355,1588
356,1573
357,1578
358,1569
359,1594
360,1577
361,1527
362,1535
363,1547
364,1528
365,1545
366,1570
367,1560
368,1548
369,1623
370,1555
371,1536
372,1533
373,1584
374,1526
375,1534
376,1498
377,1532
378,1498
379,1510
380,1492
381,1598
382,1575
383,1606
384,1606
385,1593
386,1551
387,1559
388,1520
389,1543
390,1536
391,1667
392,1668
393,1643
394,1649
395,1638
396,1539
397,1526
398,1539
399,1530
400,1534
401,1614
402,1624
403,1626
404,1648
405,1618
406,1511
407,1538
408,1511
409,1550
410,1508
411,1701
412,1699
414,1722
415,1698
416,1667
417,1667
418,1665
419,1664
420,1645
421,1630
422,1596
423,1610
424,1668
425,1652
426,1654
427,1658
428,1671
429,1694
430,1671
431,1695
432,1688
433,1723
434,1743
435,1723
436,1711
437,1713
438,1686
439,1684
440,1704
441,1842
442,1852
443,1838
444,1888
445,1894
446,1780
447,1762
448,1686
449,1702
450,1687
451,1902
452,1861
453,1821
454,1804
455,1886
456,2030
457,1927
458,1959
459,2029
460,2010
461,1856
462,1867
463,1848
464,1846
465,1852
466,1952
467,1892
468,1891
469,1951
470,1878
471,1894
472,1908
473,1926
474,1898
475,1919
476,1316
477,1308
478,1343
479,1307
480,1312
481,1222
482,1214
483,1233
484,1285
485,1238
486,1247
487,1250
488,1272
489,1276
490,1252
491,1272
492,1273
493,1275
494,1274
495,1273
496,1256
497,1254
498,1284
499,1247
500,1277
501,1301
502,1298
503,1314
504,1303
505,1304
506,1339
507,1367
508,1347
509,1361
510,1366
511,1322
512,1314
513,1348
514,1322
515,1325
516,1214
517,1226
518,1208
519,1213
520,1227
521,1330
522,1316
523,1314
524,1349
525,1316
526,1320
527,1317
528,1317
529,1331
530,1318
531,1231
532,1250
533,1227
534,1237
535,1231
536,1340
537,1334
538,1348
539,1356
540,1348
541,1383
542,1380
543,1364
544,1389
545,1385
546,1364
547,1361
548,1378
549,1346
550,1353
551,1315
552,1321
553,1313
554,1304
555,1324
556,1400
557,1429
558,1406
559,1400
560,1394
561,1354
562,1343
563,1363
564,1329
565,1341
566,1259
567,1263
568,1270
569,1268
570,1259
571,1380
572,1374
573,1362
574,1368
575,1410
576,1362
577,1394
578,1437
579,1360
580,1354
581,1416
582,1380
583,1385
584,1384
585,1459
586,1422
587,1436
588,1419
589,1428
590,1459
591,1297
592,1299
593,1304
594,1303
595,1298
596,1375
597,1370
598,1370
599,1422
600,1361
601,1540
602,1548
603,1529
604,1546
605,1546
606,1558
607,1543
608,1537
609,1573
610,1544
611,1575
612,1621
613,1597
614,1573
615,1589
616,1626
617,1607
618,1638
619,1625
620,1642
621,1621
622,1591
623,1606
624,1626
625,1606
626,1598
627,1690
628,1664
629,1613
630,1622
631,1668
632,1684
633,1649
634,1660
635,1658
636,1743
637,1749
638,1761
639,1749
640,1743
641,1674
642,1683
643,1663
644,1675
645,1675
646,1632
647,1618
648,1631
649,1632
650,1608
651,1525
652,1630
653,1557
654,1630
655,1542
656,1577
657,1584
658,1572
659,1591
660,1577
661,1670
662,1703
663,1690
664,1750
665,1685
666,1654
667,1616
668,1614
669,1623
670,1622
671,1530
672,1537
673,1593
674,1538
675,1514
676,1708
677,1739
678,1712
679,1731
680,1719
681,1630
682,1630
683,1559
684,1552
685,1558
686,1615
687,1600
688,1615
689,1609
690,1601
691,1635
692,1723
693,1661
694,1778
695,1683
696,1691
697,1692
698,1740
699,1756
700,1699
701,1667
702,1655
703,1646
704,1712
705,1647
706,1724
707,1703
708,1743
709,1712
710,1735
711,1710
712,1722
713,1730
714,1723
715,1727
716,1685
717,1685
718,1642
719,1662
720,1661
721,1553
722,1553
723,1550
724,1563
725,1548
726,1647
727,1645
728,1663
729,1643
730,1631
731,1650
732,1664
733,1652
734,1660
735,1649
736,1545
737,1551
738,1543
739,1544
740,1544
741,1687
742,1668
743,1685
744,1765
745,1678
746,1561
747,1556
748,1567
749,1568
750,1556
751,294
752,261
753,284
754,243
755,277
756,238
757,277
758,276
759,258
760,237
761,242
762,230
763,218
764,248
765,258
766,263
767,241
768,270
769,256
770,263
771,267
772,268
773,265
774,273
775,270
776,294
777,267
778,282
779,251
780,248
781,264
782,271
783,263
784,268
785,246
786,259
787,243
788,257
789,266
790,279
791,250
792,261
793,234
794,218
795,224
796,233
797,243
798,258
799,249
800,232
801,246
802,250
803,268
804,228
805,254
806,228
807,256
808,248
809,247
810,234
811,424
812,266
813,223
814,227
815,251
816,241
817,225
818,252
819,230
820,241
821,265
822,234
823,225
824,267
825,237
826,240
827,246
828,292
829,223
830,225
831,241
832,232
833,250
834,217
835,224
836,235
837,225
838,268
839,248
840,243
841,248
842,229
843,243
844,238
845,244
846,234
847,241
848,227
849,247
850,248
851,231
852,245
853,270
854,240
855,229
856,264
857,294
858,219
859,228
860,242
861,227
862,259
863,240
864,247
865,258
866,237
867,233
868,244
869,235
870,242
871,249
872,239
873,254
874,220
875,217
876,245
877,269
878,225
879,228
880,266
881,236
882,231
883,253
884,224
885,251
886,241
887,249
888,233
889,222
890,242
891,261
892,232
893,234
894,250
895,234
896,246
897,248
898,255
899,239
900,234
901,269
902,265
903,249
904,230
905,253
906,236
907,230
908,231
909,244
910,237
911,241
912,290
913,230
914,266
915,265
916,243
917,243
918,239
919,233
920,253
921,242
922,227
923,243
924,242
925,238
926,226
927,230
928,259
929,231
930,241
931,231
932,228
933,238
934,228
935,234
936,260
937,242
938,232
939,230
940,237
941,237
942,245
943,268
944,247
945,246
946,236
947,1094
948,965
949,812
950,936
951,931
952,954
953,821
954,906
955,881
956,820
957,742
958,841
959,909
960,837
961,893
962,820
963,790
964,846
965,756
966,805
967,794
968,770
969,685
970,711
971,776
972,698
973,787
974,752
975,772
976,795
977,726
978,806
979,764
980,656
981,683
982,746
983,788
984,712
985,700
986,670
987,810
988,757
989,674
990,643
991,690
992,742
993,807
994,770
995,754
996,726
997,725
998,691
999,719
1000,757
1001,686
1002,645
1003,729
1004,718
1005,694
1006,871
1007,754
1008,733
1009,691
1010,707
1011,702
1012,678
1013,679
1014,708
1015,729
1016,627
1017,681
1018,693
1019,793
1020,685
1021,709
1022,720
1023,650
1024,683
1025,683
1026,711
1027,761
1028,730
1029,709
1030,777
1031,730
1032,760
1033,697
1034,698
1035,796
1036,785
1037,784
1038,767
1039,679
1040,640
1041,723
1042,815
1043,714
1044,1002
1045,836
1046,820
1047,890
1048,720
1049,793
1050,905
1051,798
1052,715
1054,781
1055,687
1056,763
1057,737
1058,802
1059,697
1060,689
1061,770
1062,826
1063,817
