id,flesch_reading_ease_score
0,32.22
1,49.65
2,32.73
3,26.81
4,25.8
5,28.84
6,25.8
7,8.88
8,50.67
9,20.38
10,27.83
11,36.79
12,29.86
13,35.27
14,27.83
15,26.81
16,36.28
17,25.8
18,42.21
19,43.22
20,34.26
21,17.34
22,34.76
23,40.69
24,34.26
25,31.72
26,26.3
27,16.83
28,42.21
29,27.83
30,18.35
32,34.26
33,25.8
34,21.4
35,25.8
36,20.89
37,26.3
38,50.67
39,16.83
40,27.83
41,35.27
42,20.89
43,44.75
44,21.9
45,44.75
46,36.28
47,35.27
48,35.78
49,21.4
50,20.38
51,43.22
52,41.7
53,21.4
54,28.33
55,29.86
56,26.81
57,28.33
58,34.76
59,21.9
60,39.97
61,27.32
62,37.3
63,13.95
64,27.32
65,12.43
66,22.41
67,35.27
68,14.46
69,36.79
70,25.8
71,29.86
72,38.32
73,17.84
74,4.98
75,21.4
76,26.81
77,40.18
78,28.84
79,37.3
80,35.78
81,37.81
82,27.32
83,37.81
84,37.3
85,4.98
86,21.9
87,34.26
88,35.78
89,12.94
90,35.27
91,21.9
92,36.79
93,36.79
94,20.38
95,13.44
96,29.35
97,38.32
98,20.38
99,27.83
100,21.9
101,12.43
102,26.81
103,20.89
104,29.35
105,26.3
106,33.24
107,29.86
108,21.9
109,12.43
110,36.79
111,11.92
112,21.4
113,27.32
114,27.32
115,21.9
116,12.94
117,20.89
118,13.44
119,12.43
120,20.38
121,12.94
122,28.33
123,21.4
124,38.32
125,12.43
126,34.26
127,29.86
128,29.86
129,25.8
130,21.4
131,29.35
132,20.38
133,21.9
134,28.33
135,28.84
136,28.33
137,12.94
138,22.41
139,12.43
140,34.76
141,28.84
142,21.9
143,20.38
144,28.84
145,44.24
146,35.78
147,43.73
148,36.79
149,13.44
150,34.26
151,34.26
152,28.84
153,21.9
154,27.83
155,21.4
156,13.44
157,30.36
158,20.89
159,27.83
160,12.43
161,24.78
162,29.86
163,34.26
164,35.78
165,20.89
166,28.84
167,20.89
168,13.95
169,34.76
170,28.33
171,22.41
172,28.84
173,4.47
174,28.84
175,38.32
176,28.84
177,19.87
178,21.4
179,12.43
180,13.95
181,12.94
182,20.89
183,21.9
184,28.84
185,26.3
186,28.84
187,29.86
188,30.36
189,28.33
190,4.47
191,20.89
192,41.7
193,27.83
194,12.43
195,13.44
196,41.6
197,41.7
198,50.06
199,50.06
200,50.06
201,50.97
202,59.43
203,59.43
204,59.43
205,63.59
206,49.45
207,49.55
208,49.45
209,49.55
210,49.04
211,45.19
212,45.19
213,45.19
214,45.19
215,45.19
216,48.13
217,48.13
218,48.13
219,48.13
220,48.13
221,53.95
222,53.95
