Argument,Debate,Scheme
Euthanasia can end unnecessary suffering.,Should euthanasia be legalized?,2
"In situations of great chronic pain, euthanasia should be an option for patients.",Should euthanasia be legalized?,0
Chronic pain changes a person's psychological state to the point where their decision process is so impaired that they cannot make a rational decision on euthanasia.,Should euthanasia be legalized?,3
Less than 33% of patients requesting euthanaisa experience inadequate pain control.,Should euthanasia be legalized?,4
"Some doctors have argued that patients suffering from ""treatement-resistant"" depression should be allowed to elect for euthanasia.",Should euthanasia be legalized?,4
"Much of the suffering of those who request euthanasia, can be relieved simply with better palliative care.",Should euthanasia be legalized?,6
To let someone suffer until death is just as bad as murder.,Should euthanasia be legalized?,7
It could be considered to be worse than murder since it is torturing for a long time when murder stops life and automatically with it all pain and any more suffering.,Should euthanasia be legalized?,1
"The people most likely to be considered as candidates for euthanasia are those least likely to be able to speak for themselves (e.g. dementia, brain damage, neurodegenerative disorders).",Should euthanasia be legalized?,0
Safeguards would likely be put in place.,Should euthanasia be legalized?,3
"Countries, like Canada, use checks like requiring people to be ""mentally competent"" and ""suffering intolerably"".",Should euthanasia be legalized?,0
The current medical standards in countries with legal euthanasia are too easily attainable.,Should euthanasia be legalized?,0
"States such as Oregon have ""Death with Dignity"" regulations that set the standards for a person to become eligible for euthanasia.",Should euthanasia be legalized?,0
Quality of life is something too difficult to compute and can not be valued or 'measured' neither by experts since it involves feelings.,Should euthanasia be legalized?,1
"This is our life, therefore we should be able to decide when to end it.",Should euthanasia be legalized?,1
The ability to choose when we die is an integral part of our human freedom.,Should euthanasia be legalized?,1
God gave life so only he can take it.,Should euthanasia be legalized?,4
"Deuteronomy 32:29 states, ""It is I who bring both death and life.""",Should euthanasia be legalized?,4
"Certain deities (e. g. Moloch, Kukulkan) even fancy human sacrifice.",Should euthanasia be legalized?,0
Euthanasia is a selfish act.,Should euthanasia be legalized?,1
Euthanasia is assisted suicide and suicide is a rejection of the value of the life of the patient and those of everyone who cares about them.,Should euthanasia be legalized?,7
"Ethically, doctors should not do anything to a patient that will not benefit them.",Should euthanasia be legalized?,1
"Euthanasia does not necessarily have to be performed by doctors or nurses, and as such the guiding morality doesn't necessarily spring from the hippocratic oath.",Should euthanasia be legalized?,6
Legal euthanasia is better than alternatives for those seeking to end their lives.,Should euthanasia be legalized?,6
Legalised euthanasia is safer than forcing people to seek the alternative option themselves.,Should euthanasia be legalized?,2
Badly implemented suicides can cause direct collateral damage.,Should euthanasia be legalized?,6
Many who might look to end their lives through euthanasia might not end their lives where it is not legal.,Should euthanasia be legalized?,3
"In this study, of 56 attempted suicides, 55 were from falling and 1 gunshot wound, and many had significant injuries and an increased likeihood of further suicide attempts.",Should euthanasia be legalized?,0
People may be more inclined to favor euthanasia and make less effort to preserve their lives to the end.,Should euthanasia be legalized?,5
Legalised euthanasia is less stigmatising than suicide or the non-legal alternatives.,Should euthanasia be legalized?,1
"People should have the right to die with dignity when their dignity is violated by degrading living conditions; 
Therefore, euthanasia is not a violation of dignity of life, on the contrary it's the highest form of respect for it.",Should euthanasia be legalized?,1
"Life has no inherent value, so it cannot be devalued.",Should euthanasia be legalized?,1
"The cost of palliative care is extremely high, thus many people who opt for euthanasia are more likely to be poor.",Should euthanasia be legalized?,3
"In 2014, the Lithuanian health minister proposed that ""euthanasia might be needed for poor people who cannot access palliative care"".",Should euthanasia be legalized?,0
